iter	Logloss
0	0.6923054411
1	0.6911386514
2	0.6905092291
3	0.6895350729
4	0.6887234276
5	0.6875129855
6	0.6865322891
7	0.6855044751
8	0.6844620893
9	0.6835540772
10	0.6824040908
11	0.6813024952
12	0.6802485505
13	0.6793754012
14	0.6782536429
15	0.677327992
16	0.6765649595
17	0.6760366252
18	0.6752986543
19	0.6742212357
20	0.6732386718
21	0.6725948748
22	0.6717992945
23	0.6709761282
24	0.6699661335
25	0.6692331025
26	0.6686674607
27	0.6676998011
28	0.6670302196
29	0.6661938066
30	0.6655510275
31	0.6649123907
32	0.6642431975
33	0.6637044622
34	0.6628093174
35	0.6619309262
36	0.661143491
37	0.6604558054
38	0.6596675677
39	0.6588459388
40	0.6582017554
41	0.657468161
42	0.6570273894
43	0.6563547137
44	0.655752299
45	0.6550385221
46	0.6543405438
47	0.6537405258
48	0.6532333344
49	0.6525373462
50	0.6518977578
51	0.6512880206
52	0.6506462752
53	0.6499595756
54	0.6493903867
55	0.648974133
56	0.6481775218
57	0.6476772757
58	0.6469507567
59	0.6463658816
60	0.6457062268
61	0.6451643247
62	0.6448739433
63	0.6444364951
64	0.6440907813
65	0.6435981675
66	0.6429507247
67	0.6423974004
68	0.6419257531
69	0.6413435737
70	0.6408528294
71	0.6403564829
72	0.6397908025
73	0.639316801
74	0.6388796628
75	0.6381873301
76	0.6376135884
77	0.6368216036
78	0.6362702355
79	0.6357423689
80	0.6351293723
81	0.6346182995
82	0.6342396288
83	0.6339828826
84	0.633716427
85	0.6333995373
86	0.6326707408
87	0.6322588652
88	0.6317025204
89	0.6311875393
90	0.6307769132
91	0.6303099528
92	0.6298535014
93	0.6292250366
94	0.6289690969
95	0.6285703224
96	0.6280892062
97	0.6277587408
98	0.6273289358
99	0.6269632431
100	0.6265650165
101	0.6261929998
102	0.6256532082
103	0.6253018678
104	0.6248453375
105	0.6244625075
106	0.6239617687
107	0.6235471301
108	0.6233475268
109	0.6229913721
110	0.6225062405
111	0.6221424049
112	0.6217610375
113	0.6214193309
114	0.6210774206
115	0.6207269103
116	0.6203401909
117	0.6200141403
118	0.61973188
119	0.6194961255
120	0.619346243
121	0.6188112718
122	0.6184635954
123	0.6180610668
124	0.6177127509
125	0.6173930394
126	0.6171022537
127	0.6167152423
128	0.6162931175
129	0.6159749462
130	0.6155454407
131	0.6153474022
132	0.6151459669
133	0.6147758362
134	0.6145755702
135	0.614314663
136	0.613960442
137	0.6136036472
138	0.6134117436
139	0.6130131848
140	0.6127204096
141	0.6125807504
142	0.6124048987
143	0.6121803327
144	0.6118590624
145	0.6113361553
146	0.6110927345
147	0.6105065431
148	0.6102325454
149	0.6097932623
150	0.6096599174
151	0.6092534709
152	0.6090155555
153	0.6087324851
154	0.6084290494
155	0.6080491046
156	0.60761819
157	0.6073596235
158	0.6070605294
159	0.6068154784
160	0.6064750127
161	0.6061394819
162	0.6059275415
163	0.6055891648
164	0.6054218865
165	0.6052157701
166	0.6047662797
167	0.6044049856
168	0.6041898676
169	0.6038594339
170	0.6036153389
171	0.6032837131
172	0.603028683
173	0.6028166797
174	0.6023324803
175	0.6021821851
176	0.601909729
177	0.601576014
178	0.6014151064
179	0.6011919295
180	0.6008436074
181	0.6006314494
182	0.600446437
183	0.6002788747
184	0.6000853861
185	0.5998151154
186	0.5997030235
187	0.5994743008
188	0.5990539081
189	0.5986888508
190	0.5984578206
191	0.5981224363
192	0.5980029634
193	0.5977987202
194	0.5976282788
195	0.5973232917
196	0.5971539947
197	0.5969365991
198	0.5967519169
199	0.5965160334
200	0.5963770762
201	0.5961508007
202	0.5959765862
203	0.5956895041
204	0.5955517903
205	0.5954235916
206	0.5950191315
207	0.594747059
208	0.5945280162
209	0.5943100223
210	0.5941079148
211	0.5939342178
212	0.5936982999
213	0.5934716998
214	0.5932382665
215	0.5931279634
216	0.5929435065
217	0.5926094853
218	0.5923550888
219	0.5921161183
220	0.5918006373
221	0.5914871921
222	0.5910345784
223	0.5907652442
224	0.5904939659
225	0.5902898267
226	0.590136155
227	0.5900573871
228	0.5898528412
229	0.5895761814
230	0.5893395865
231	0.5891240298
232	0.5889560122
233	0.5884851157
234	0.5882620503
235	0.588121217
236	0.5878948782
237	0.5878024671
238	0.5875699849
239	0.5873702709
240	0.5871995529
241	0.5870493195
242	0.5868697253
243	0.5866570186
244	0.5863968726
245	0.5860815206
246	0.5857389067
247	0.5856010317
248	0.5853330134
249	0.585145219
250	0.5847776982
251	0.5843881456
252	0.584103611
253	0.5839088594
254	0.5836317967
255	0.5832179719
256	0.5830337759
257	0.5828120055
258	0.5826434404
259	0.5823553915
260	0.5820983595
261	0.5818425168
262	0.5817001529
263	0.5815225895
264	0.5812692176
265	0.5811278718
266	0.5808772683
267	0.5806624417
268	0.5804282749
269	0.5802090993
270	0.5799304062
271	0.5795691965
272	0.5792962045
273	0.5789947284
274	0.5787175009
275	0.5786265031
276	0.5784902188
277	0.5783792293
278	0.5781505928
279	0.5780156725
280	0.5776805048
281	0.5775580526
282	0.5774343641
283	0.5772550856
284	0.5770615087
285	0.5768288155
286	0.576693491
287	0.5765030006
288	0.5762924393
289	0.5762325214
290	0.5760633171
291	0.5758255779
292	0.57566394
293	0.5755584062
294	0.5752983248
295	0.5751507781
296	0.5750528848
297	0.5748956587
298	0.5747109988
299	0.5744413897
300	0.5740783079
301	0.5738339375
302	0.57354141
303	0.5733076185
304	0.5731070605
305	0.5729408161
306	0.5726759047
307	0.5724908464
308	0.5722927341
309	0.5721351798
310	0.5719501837
311	0.5717065853
312	0.5714126634
313	0.5711517773
314	0.5709768394
315	0.5708672682
316	0.5707311089
317	0.570310592
318	0.5702159089
319	0.5700162313
320	0.5699415479
321	0.5696664845
322	0.5694788411
323	0.5694141123
324	0.5692984721
325	0.5691126137
326	0.5688768725
327	0.5686548018
328	0.5685178906
329	0.5682443039
330	0.5679822101
331	0.5676552393
332	0.567407854
333	0.5672211946
334	0.5670496526
335	0.5668829596
336	0.5667290857
337	0.5665771849
338	0.5663890932
339	0.5661573293
340	0.5658932194
341	0.565622005
342	0.5654525668
343	0.5653100059
344	0.5651664221
345	0.5650307525
346	0.5647546189
347	0.5645305169
348	0.5643411747
349	0.5641880877
350	0.5640410181
351	0.5637916952
352	0.5636006073
353	0.5632787276
354	0.5631148013
355	0.5628996245
356	0.5626704337
357	0.56256043
358	0.5622852826
359	0.5621175494
360	0.5619771832
361	0.5617007131
362	0.5615662688
363	0.5612822767
364	0.5611266473
365	0.5609272207
366	0.5608628624
367	0.5605127169
368	0.5603054445
369	0.5601650312
370	0.559939987
371	0.559734916
372	0.559548354
373	0.5593389162
374	0.5592080174
375	0.5590148097
376	0.5587648502
377	0.5585950158
378	0.5584089444
379	0.5582714672
380	0.558057815
381	0.5578983308
382	0.5577070229
383	0.5576033817
384	0.5574056934
385	0.5572290479
386	0.5571482446
387	0.5568980884
388	0.5566448826
389	0.5565175206
390	0.5564094505
391	0.5561572596
392	0.5558605942
393	0.5557783923
394	0.5556211223
395	0.555411609
396	0.5551255378
397	0.5549029346
398	0.5547982666
399	0.5546442633
400	0.5545056801
401	0.5542991644
402	0.5541460794
403	0.5539768244
404	0.553819404
405	0.5535724825
406	0.5532766383
407	0.5529440157
408	0.552894979
409	0.5526275806
410	0.5525344595
411	0.5524070836
412	0.5522804179
413	0.5520998405
414	0.5519914526
415	0.5519207374
416	0.5517009498
417	0.5515296912
418	0.551283541
419	0.5511572528
420	0.5508613405
421	0.5505525071
422	0.5502897569
423	0.5500762526
424	0.5498751088
425	0.5497914148
426	0.5496460807
427	0.5495870254
428	0.549469887
429	0.5493084978
430	0.5491238104
431	0.5489628481
432	0.5488273238
433	0.5486709581
434	0.5484850199
435	0.548254126
436	0.5479887424
437	0.5478412523
438	0.5477014303
439	0.547471274
440	0.5473512813
441	0.5471567933
442	0.5469488708
443	0.5468159844
444	0.5467446091
445	0.5465428539
446	0.546317099
447	0.5461431713
448	0.5459905017
449	0.54588122
450	0.5457101828
451	0.5454925972
452	0.5453455395
453	0.5452406599
454	0.5449317572
455	0.5447978152
456	0.5445752342
457	0.5444028854
458	0.5442089475
459	0.5440370493
460	0.5438530311
461	0.5436897061
462	0.5434851176
463	0.5432525021
464	0.5429572646
465	0.5428376304
466	0.5427169173
467	0.5424655806
468	0.542296897
469	0.5422180314
470	0.5420002567
471	0.5418309756
472	0.5417573873
473	0.5415827781
474	0.5414251725
475	0.5411321987
476	0.5409430067
477	0.5408053148
478	0.5405933101
479	0.5402305335
480	0.5400097364
481	0.5398758269
482	0.539722127
483	0.5396415742
484	0.5395259516
485	0.5393250832
486	0.539133306
487	0.5390186198
488	0.5389433041
489	0.5388015374
490	0.538721115
491	0.5385834248
492	0.5384505732
493	0.5382210151
494	0.5381101147
495	0.5379862714
496	0.5378360682
497	0.5376283052
498	0.5374231556
499	0.5373661043
500	0.5370687761
501	0.5368796832
502	0.5367254708
503	0.5364458077
504	0.5362841268
505	0.5359246525
506	0.535734047
507	0.5355974393
508	0.5354894686
509	0.5353961557
510	0.5352752287
511	0.5349977706
512	0.5347490724
513	0.5346421649
514	0.5344377284
515	0.5342546366
516	0.5341277175
517	0.5339552159
518	0.5338117844
519	0.5336944858
520	0.5335850433
521	0.5334014027
522	0.5332220233
523	0.5330820328
524	0.5329498152
525	0.5327860126
526	0.5325181949
527	0.5322192049
528	0.5321170671
529	0.5319407425
530	0.5317617673
531	0.5315303787
532	0.5314266301
533	0.5310442342
534	0.5307289127
535	0.5305018628
536	0.5302251485
537	0.5300036622
538	0.5297965514
539	0.5296705095
540	0.5295761031
541	0.5294335341
542	0.5292465336
543	0.52913628
544	0.5290323336
545	0.5286877136
546	0.528561262
547	0.5283678611
548	0.5282329039
549	0.5280591542
550	0.5279660889
551	0.5278355202
552	0.5277261101
553	0.5274925559
554	0.5273841014
555	0.5272658771
556	0.5271397724
557	0.5269901993
558	0.5268983878
559	0.5267525643
560	0.5266491866
561	0.5265284423
562	0.5264614848
563	0.5263810197
564	0.5262781614
565	0.5261737711
566	0.5259784854
567	0.5258369724
568	0.5257305215
569	0.5256343912
570	0.5254817394
571	0.525309448
572	0.5251236759
573	0.5250673591
574	0.5248085383
575	0.5246761822
576	0.524398118
577	0.5243313434
578	0.5241187029
579	0.5240433725
580	0.5238773897
581	0.523570369
582	0.5233822888
583	0.5232042284
584	0.5231100856
