iter	Passed	Remaining
0	139	139147
1	147	73668
2	153	50985
3	160	39879
4	167	33255
5	173	28704
6	179	25443
7	184	22918
8	190	20930
9	195	19329
10	200	18017
11	205	16953
12	213	16192
13	219	15449
14	226	14856
15	232	14282
16	241	13951
17	246	13450
18	251	13007
19	257	12596
20	262	12216
21	266	11869
22	272	11573
23	277	11272
24	282	11001
25	286	10751
26	291	10517
27	296	10298
28	300	10047
29	305	9865
30	309	9687
31	314	9527
32	319	9371
33	324	9223
34	329	9087
35	334	8968
36	340	8851
37	345	8740
38	350	8639
39	355	8530
40	360	8433
41	365	8332
42	369	8229
43	374	8137
44	379	8044
45	383	7950
46	384	7795
47	389	7721
48	393	7644
49	398	7568
50	402	7497
51	407	7437
52	413	7392
53	418	7337
54	424	7288
55	429	7236
56	434	7188
57	439	7133
58	443	7075
59	448	7032
60	454	6995
61	458	6943
62	463	6895
63	465	6809
64	470	6773
65	476	6743
66	481	6699
67	485	6657
68	490	6620
69	495	6584
70	500	6545
71	505	6511
72	526	6682
73	530	6642
74	535	6603
75	540	6567
76	544	6531
77	549	6496
78	554	6462
79	558	6427
80	563	6398
81	568	6364
82	573	6337
83	578	6308
84	583	6280
85	588	6251
86	593	6227
87	598	6202
88	603	6176
89	608	6154
90	613	6132
91	619	6111
92	624	6091
93	629	6069
94	635	6049
95	640	6029
96	646	6016
97	651	5997
98	656	5976
99	661	5957
100	667	5941
101	673	5932
102	678	5912
103	683	5892
104	689	5876
105	695	5866
106	700	5849
107	706	5836
108	711	5818
109	716	5799
110	722	5785
111	727	5769
112	733	5758
113	739	5746
114	741	5709
115	747	5696
116	752	5681
117	758	5669
118	763	5656
119	769	5644
120	775	5635
121	781	5626
122	795	5675
123	801	5664
124	807	5655
125	813	5642
126	819	5630
127	824	5619
128	830	5609
129	836	5597
130	842	5586
131	847	5575
132	853	5564
133	859	5554
134	865	5544
135	871	5538
136	877	5529
137	883	5520
138	889	5512
139	903	5548
140	917	5589
141	922	5572
142	927	5556
143	932	5544
144	938	5534
145	944	5524
146	949	5512
147	955	5498
148	960	5488
149	966	5478
150	972	5469
151	979	5463
152	985	5456
153	992	5449
154	998	5440
155	1003	5428
156	1008	5414
157	1014	5405
158	1020	5398
159	1026	5390
160	1032	5381
161	1038	5373
162	1044	5364
163	1050	5353
164	1055	5341
165	1060	5329
166	1065	5316
167	1070	5303
168	1076	5291
169	1081	5281
170	1086	5269
171	1092	5256
172	1097	5245
173	1102	5235
174	1107	5222
175	1112	5210
176	1117	5198
177	1123	5186
178	1128	5177
179	1134	5166
180	1139	5156
181	1145	5146
182	1150	5136
183	1156	5127
184	1161	5118
185	1167	5109
186	1172	5098
187	1177	5087
188	1183	5078
189	1189	5069
190	1194	5059
191	1200	5052
192	1207	5049
193	1213	5040
194	1233	5091
195	1239	5082
196	1244	5074
197	1250	5066
198	1256	5058
199	1262	5050
200	1268	5042
201	1273	5031
202	1310	5143
203	1314	5130
204	1319	5118
205	1324	5106
206	1329	5094
207	1335	5083
208	1340	5071
209	1344	5059
210	1349	5046
211	1354	5036
212	1360	5025
213	1364	5013
214	1369	5000
215	1374	4988
216	1379	4977
217	1384	4965
218	1388	4953
219	1394	4942
220	1399	4931
221	1404	4921
222	1409	4910
223	1414	4900
224	1419	4889
225	1424	4878
226	1429	4867
227	1434	4857
228	1439	4846
229	1444	4836
230	1449	4825
231	1455	4816
232	1460	4808
233	1466	4800
234	1472	4794
235	1478	4785
236	1483	4775
237	1489	4767
238	1494	4759
239	1500	4752
240	1505	4742
241	1511	4735
242	1517	4727
243	1523	4720
244	1528	4711
245	1535	4705
246	1540	4695
247	1545	4686
248	1550	4676
249	1555	4667
250	1561	4658
251	1566	4648
252	1571	4639
253	1576	4630
254	1581	4621
255	1586	4611
256	1606	4644
257	1611	4633
258	1616	4624
259	1621	4614
260	1626	4604
261	1631	4595
262	1636	4587
263	1642	4578
264	1647	4569
265	1652	4561
266	1658	4552
267	1663	4542
268	1668	4532
269	1672	4522
270	1678	4514
271	1683	4506
272	1689	4497
273	1694	4488
274	1699	4480
275	1704	4471
276	1709	4461
277	1714	4452
278	1719	4444
279	1724	4435
280	1730	4427
281	1736	4421
282	1742	4413
283	1747	4406
284	1753	4399
285	1759	4391
286	1764	4384
287	1770	4377
288	1776	4370
289	1782	4363
290	1788	4358
291	1794	4351
292	1800	4343
293	1806	4336
294	1811	4328
295	1816	4321
296	1822	4313
297	1828	4307
298	1834	4299
299	1839	4292
300	1845	4284
301	1850	4275
302	1855	4268
303	1860	4260
304	1865	4251
305	1870	4242
306	1875	4234
307	1880	4225
308	1885	4217
309	1890	4208
310	1895	4200
311	1900	4191
312	1905	4182
313	1910	4173
314	1915	4166
315	1921	4158
316	1927	4152
317	1933	4147
318	1954	4171
319	1959	4164
320	1968	4163
321	1973	4156
322	1978	4147
323	1984	4139
324	1989	4131
325	1994	4122
326	1999	4114
327	2004	4106
328	2009	4098
329	2014	4089
330	2019	4081
331	2024	4073
332	2029	4065
333	2034	4056
334	2039	4048
335	2044	4040
336	2049	4032
337	2055	4025
338	2061	4019
339	2067	4012
340	2073	4006
341	2079	4000
342	2085	3994
343	2092	3990
344	2099	3985
345	2106	3982
346	2112	3975
347	2117	3968
348	2122	3959
349	2128	3952
350	2134	3945
351	2140	3939
352	2146	3934
353	2151	3926
354	2157	3919
355	2162	3911
356	2167	3903
357	2172	3895
358	2177	3887
359	2182	3880
360	2187	3872
361	2192	3864
362	2199	3859
363	2204	3852
364	2209	3844
365	2215	3837
366	2220	3829
367	2225	3822
368	2230	3814
369	2235	3806
370	2241	3799
371	2246	3791
372	2250	3783
373	2256	3776
374	2261	3769
375	2266	3761
376	2271	3753
377	2276	3746
378	2282	3739
379	2287	3732
380	2292	3724
381	2297	3716
382	2302	3709
383	2307	3701
384	2312	3694
385	2317	3686
386	2322	3679
387	2327	3671
388	2332	3664
389	2337	3656
