,lightgbm,gbc,lda,knn,et,rf,mlp,qda,catboost
random_peptide_1,0,0,0,0,0,0,0,0,0
random_peptide_2,0,0,0,0,0,0,0,0,0
random_peptide_3,0,0,0,0,0,0,0,0,0
random_peptide_4,0,0,0,0,0,0,0,0,0
random_peptide_5,0,0,0,0,0,0,0,0,0
random_peptide_6,0,0,0,0,0,0,0,0,0
random_peptide_7,0,0,0,0,0,0,0,0,0
random_peptide_8,0,0,0,0,0,0,0,0,0
random_peptide_9,0,0,0,0,0,0,0,0,0
random_peptide_10,0,0,0,0,0,0,0,0,0
random_peptide_11,0,0,0,0,0,0,0,0,0
random_peptide_12,0,0,0,0,0,0,0,0,0
random_peptide_13,0,0,0,0,0,0,0,0,0
random_peptide_14,0,0,0,0,0,0,0,0,0
random_peptide_15,0,0,0,0,0,0,0,0,0
random_peptide_16,0,0,0,0,0,0,0,0,0
random_peptide_17,0,0,0,0,0,0,0,0,0
random_peptide_18,0,0,0,0,0,0,0,0,0
random_peptide_19,0,0,0,0,0,0,0,0,0
random_peptide_20,0,0,0,0,0,0,0,0,0
random_peptide_21,0,0,0,0,0,0,0,0,0
random_peptide_22,0,0,0,0,0,0,0,0,0
random_peptide_23,0,0,0,0,1,0,0,1,0
random_peptide_24,0,0,0,0,0,0,0,0,0
random_peptide_25,0,0,0,0,0,0,0,0,0
random_peptide_26,0,0,0,0,0,0,0,0,0
random_peptide_27,0,0,0,0,0,0,0,0,0
random_peptide_28,0,0,0,0,0,0,0,0,0
random_peptide_29,0,0,0,0,0,0,0,0,0
random_peptide_30,0,0,0,0,0,0,0,0,0
random_peptide_31,0,0,0,0,0,0,1,0,0
random_peptide_32,0,0,0,0,0,0,0,0,0
random_peptide_33,0,0,0,0,0,0,0,0,0
random_peptide_34,0,0,0,0,0,0,0,0,0
random_peptide_35,0,0,0,0,0,0,0,0,0
random_peptide_36,0,0,0,0,0,0,0,0,0
random_peptide_37,0,0,0,0,0,0,0,0,0
random_peptide_38,0,0,0,0,0,0,0,0,0
random_peptide_39,0,0,0,0,0,0,0,0,0
random_peptide_40,0,0,0,0,0,0,0,0,0
random_peptide_41,0,0,0,0,0,0,0,0,0
