,lightgbm,gbc,lda,knn,et,rf,mlp,qda,catboost
DBAASP1777,0.0008870373371030475,0.0003906331419049461,0.007716859789915583,0.17837071247330416,0.12,0.12,0.004875854647147647,1.0,0.013208482061613918
DBAASP2619,7.723632985197056e-06,6.471022341838236e-05,0.00021152066848536367,0.0,0.0,0.01,3.921880657743476e-05,4.406567828865936e-10,5.848560979861069e-05
DBAASP2489,8.100791204288058e-06,6.19043924154245e-05,0.0002377597600193567,0.0,0.01,0.0,2.7896901631262227e-05,7.01162059590967e-09,4.851974204200586e-05
DBAASP4779,2.147164059575175e-05,3.210039712618707e-05,0.001247145589872752,0.0,0.01,0.0,3.874053928516279e-05,2.6996945669007468e-05,0.00012355268163622893
DBAASP5025,0.00042784334409122813,0.03793222389072752,0.05880743499362497,0.0,0.17,0.19,5.9966238183152836e-05,5.3224213798976016e-08,0.0017170293569428318
DBAASP1735,0.00010656683045309561,4.415349914065306e-05,0.0012126206331036316,0.0,0.02,0.02,8.66879048715969e-05,2.5930406833266175e-06,0.0007131462599630954
DBAASP4481,7.072097409770129e-05,6.631993740904472e-05,0.000827225491443824,0.0488837936734779,0.03,0.03,0.0037365738849464715,1.2352461151956463e-05,0.0006154089088217097
DBAASP1039,0.029864559694018383,0.16761997324523406,0.12528057358330075,0.2701537106125836,0.11,0.41,0.3292246146917354,0.7628203230411185,0.11250569168672254
DBAASP1363,5.487087617286678e-06,4.69258236853525e-05,0.00020664411046251584,0.0,0.0,0.0,2.5295471746370592e-05,2.5334778399681413e-09,2.9248983254553564e-05
DBAASP3680,8.541824298400331e-05,0.00011148275716900524,0.004372135198540263,0.0,0.05,0.01,0.521870549519576,8.697205918638515e-13,0.0016250904030974905
DBAASP1066,2.3744960140632458e-05,5.5377940551313295e-05,4.8500200252114004e-05,0.0,0.0,0.0,1.6036819729118115e-05,1.1650279079943633e-15,0.00010040781341049136
DBAASP4348,1.3805816088385228e-05,3.097888304674093e-05,0.0002831168971984242,0.0,0.0,0.0,3.292048084105897e-05,9.906025816206841e-22,5.1234685116687664e-05
DBAASP1280,7.111178874802307e-06,3.7410143938143044e-05,0.00015859427137609281,0.0,0.0,0.0,2.0212416350459123e-05,1.9242978232272245e-11,5.083142596806111e-05
DBAASP4769,1.7566764681953003e-05,5.311936567598172e-05,6.0108369291300306e-05,0.0,0.0,0.0,2.1005650599849185e-05,9.979631955562473e-10,0.0003165712081713908
DBAASP2691,7.236325056035346e-05,6.305308668901067e-05,0.0008356727973723646,0.06446466985467157,0.02,0.02,0.011991011086714092,6.420689716439488e-48,0.0004219549448123146
DBAASP2392,8.423265744469328e-06,5.578479202463894e-05,0.0001330590881725124,0.0,0.0,0.0,6.213403116185326e-05,2.8918400499804664e-09,0.000231882035549887
