,GTPC_uncharger.postivecharger.alphaticr,CKSAAP_GP.gap2,GTPC_alphaticr.postivecharger.alphaticr,CKSAAGP_postivecharger.postivecharger.gap1,CKSAAP_PK.gap3,DDE_PG,DDE_TW,CKSAAP_TK.gap1,DDE_MQ,DDE_RA,CTriad_g1.g2.g3,ABHPRK__33,DDE_RP,NMBroto_CHAM810101.lag2,CTDT_hydrophobicity_PRAM900101.Tr1331,MSW__6,CTDD_hydrophobicity_CASG920101.2.residue50,Z3__17,Calculate_charge,DDE_RQ,DPC_GF,Kytedoolittle,Z3__16,PAAC_Xc1.W,CKSAAP_DP.gap1,NMBroto_CHAM820102.lag1,ABHPRK__55,CTDD_hydrophobicity_FASG890101.2.residue100,Z3__24,APAAC_Pc1.P,CTDD_hydrophobicity_PONP930101.2.residue75,Z5__19,MSW__1,CKSAAGP_uncharger.postivecharger.gap2,DDE_NT,CTriad_g4.g5.g1,ABHPRK__75,PAAC_Xc2.lambda1,APAAC_Pc1.G,CTDC_normwaalsvolume.G3,Z3__11,Ez__22,CTDD_hydrophobicity_PRAM900101.1.residue100,CTDD_hydrophobicity_ARGP820101.1.residue50,Z3__30,Ez__6,CTDD_charge.2.residue50,QSO3_SC_P,Aliphatic_Index,CTDT_charge.Tr1221,y
random_peptide_1,0.0,0.33333,0.0,0.0,0.0,0.75293,0.66081,0.0,0.66081,0.75293,0.0,0.0,0.75293,3.67799,-0.67829,1.33024,-0.63492,3.10545,0.4995,0.75293,0.0,0.14287,2.21213,0.0,0.0,0.78897,0.0,0.06861,1.13318,0.9849,-0.08974,0.73229,-0.33799,0.0,0.66081,0.0,0.0,-0.47304,1.05141,0.53846,-0.95286,-1.02189,0.375,-0.29333,-0.50101,0.11219,-1.21212,1.21109,-0.89353,0.16923,0
random_peptide_2,0.0,0.0,0.0,0.0,0.0,-0.15994,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15994,0.13448,0.13566,-1.04666,0.62771,0.57192,-1.4985,-0.15994,0.0,1.2535,0.30753,0.0,0.0,-0.65567,0.0,-1.0853,0.80863,0.0,-0.62005,-0.77997,0.28125,0.0,-0.14037,0.0,0.0,-0.06747,0.09887,-1.21154,1.07933,0.24534,-0.44318,-0.56,0.31213,-0.33969,0.90909,0.0,0.84175,-0.5641,0
random_peptide_3,0.0,0.0,0.08333,0.0,0.0,-0.59683,-0.52381,0.0,-0.52381,-0.59683,1.0,0.0,-0.59683,-2.20074,-0.05218,0.56372,0.2381,-0.81078,0.049,-0.59683,0.0,1.25447,0.11802,0.0,0.0,0.01085,0.0,-0.0294,0.02945,0.0,0.57692,-0.03345,1.19488,0.0,-0.52381,0.0,0.0,-0.42315,0.06987,0.66346,0.4075,0.30263,-1.125,-0.18857,0.16899,-1.25848,0.45455,0.0,0.30971,-0.5641,0
random_peptide_4,0.09091,0.0,0.0,0.0,0.0,-0.45742,-0.40145,0.0,-0.40145,43.6547,0.5,0.0,-0.45742,-0.49728,-0.33915,0.2986,-0.42125,-0.72517,0.9995,-0.45742,0.0,-0.03132,-0.30463,0.0,0.0,0.74333,0.0,0.095,0.78766,2.04049,-0.89744,-0.17696,0.49052,1.7,-0.40145,0.0,0.0,0.78972,-0.84868,0.80769,-1.03887,0.26449,-0.54808,0.27077,-0.25175,-0.43754,0.06993,1.53845,-0.57916,0.65812,0
random_peptide_5,0.0,0.0,0.0,0.0,0.0,0.1691,0.14841,0.0,0.14841,0.1691,1.0,0.0,0.1691,2.32966,-0.16957,0.02206,0.29101,4.39039,1.0,0.1691,0.0,0.69224,3.36245,0.0,0.0,1.71225,0.0,0.41167,0.46804,0.0,0.5584,-0.42212,-0.7313,0.0,0.14841,0.0,0.0,0.14486,3.09211,-0.04487,-0.54484,-0.11005,-1.625,1.17333,-0.83428,-0.41847,1.0101,0.0,-0.01305,0.35256,0
random_peptide_6,0.0,0.0,0.0,0.0,0.0,-0.59683,-0.52381,0.0,-0.52381,-0.59683,0.0,0.0,-0.59683,-0.28829,0.26088,0.56876,-0.2381,0.08403,-0.533,-0.59683,0.0,-0.52512,-0.52571,0.0,0.0,-0.83507,0.0,0.26464,0.82502,0.0,-0.58974,-0.06247,0.15704,0.0,-0.52381,0.0,0.0,-0.45345,-0.84868,-0.08654,0.18704,-0.36858,0.16071,1.06857,0.07648,0.04959,-0.97403,0.0,0.21359,-0.28205,0
random_peptide_7,0.0,0.0,0.0,0.0,0.0,0.54258,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.54258,0.71857,-0.67829,-0.00601,-1.19048,-1.96284,-0.9995,0.54258,0.0,-0.51072,0.57974,0.0,0.0,-0.42989,0.0,-0.17643,-0.9943,0.0,0.41026,-2.2156,-1.44948,0.0,0.47619,0.0,0.0,0.144,-0.03332,-0.46154,1.24351,0.88533,0.375,0.75429,-3.55161,1.31382,-3.11688,0.0,-1.14272,0.65812,0
random_peptide_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06838,-0.2261,0.96612,0.80952,-0.11222,0.5495,0.0,0.0,-0.32312,-0.08921,0.7868,0.0,0.31572,0.0,0.20583,0.3293,0.96338,0.14359,-0.86598,0.32912,2.42857,0.0,0.0,0.16667,0.01331,-0.84868,0.36346,-0.81534,-0.79564,-0.525,-0.44,0.30587,0.18045,0.45455,0.87054,-0.4101,-0.1567,0
random_peptide_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93628,-2.31141,-0.2261,-0.93592,1.47619,0.11931,0.5,0.0,0.0,0.38968,-0.57945,0.0,0.0,3.82382,0.0,-0.20583,-0.96291,4.17709,0.61026,-0.36055,-0.15395,2.42857,0.0,0.0,0.0,-0.12109,-0.84868,-0.68654,-0.472,0.7912,-0.825,-1.76,-0.7714,0.0549,-0.54545,4.03701,0.90563,0.25071,0
random_peptide_10,0.0,0.0,0.27273,0.18182,0.0,-0.45742,-0.40145,0.0,-0.40145,-0.45742,0.0,0.18182,-0.45742,-0.8704,1.01744,-0.03978,-0.42125,-0.87754,1.5005,-0.45742,0.0,-0.26532,0.96981,0.0,0.0,0.56727,0.0,-0.53833,1.66921,0.0,0.17949,0.67944,-0.77334,0.0,-0.40145,0.0,0.0,1.61504,0.99019,0.80769,-1.10861,-0.66253,0.14423,-0.40615,0.93337,0.28255,0.06993,0.0,-0.13062,1.57479,0
