,ABHPRK__38,CTDC_hydrophobicity_ARGP820101.G1,GTPC_uncharger.uncharger.postivecharger,CKSAAGP_negativecharger.uncharger.gap4,CTDC_solventaccess.G3,CKSAAP_TK.gap1,CKSAAGP_negativecharger.uncharger.gap1,formula_C,Cougar__27,CKSAAGP_aromatic.postivecharger.gap2,ABHPRK__18,ABHPRK__57,formula_H,ABHPRK__37,Cougar__28,CKSAAGP_alphaticr.alphaticr.gap5,Cougar__5,NMBroto_CIDH920105.lag2,CKSAAP_SR.gap3,AAC_G,MSW__7,DDE_AP,GTPC_uncharger.postivecharger.alphaticr,QSO3_SC_P,Ez__24,GAAC_uncharge,DDE_WT,APAAC_Pc2.Hydrophilicity.2,CTDC_charge.G3,DDR_I,Z5__56,ABHPRK__20,APAAC_Pc2.Hydrophilicity.1,CTDD_hydrophobicity_ARGP820101.1.residue100,CTDD_hydrophobicity_ZIMJ680101.1.residue0,DDE_PP,CTDD_solventaccess.3.residue75,ABHPRK__79,CKSAAGP_alphaticr.postivecharger.gap3,MSW__1,CTDD_hydrophobicity_FASG890101.3.residue50,APAAC_Pc2.Hydrophobicity.1,CKSAAGP_negativecharger.alphaticr.gap2,PAAC_Xc1.Y,CTriad_g1.g2.g2,CTDD_hydrophobicity_ARGP820101.3.residue75,DDE_WC,CKSAAP_QK.gap3,ABHPRK__81,Cougar__3,y
DBAASP4227,0.84,-0.51282,0.0,0.0,-0.49333,0.0,0.0,0.23077,-0.24886,0.0,0.0,0.83916,0.525,0.86364,-0.21759,0.27642,-0.27169,0.22686,0.0,0.0,-0.59379,0.0,0.0,0.0,0.59182,-0.48148,0.0,-0.75195,1.0,0.17398,-0.49693,0.0,-1.69503,-0.79339,0.12571,0.0,-0.5035,0.18445,1.36644,0.73264,0.42857,-1.66157,0.0,0.0,0.0,0.28889,0.0,0.0,0.0,-0.22765,0
DBAASP749,0.105,0.15385,0.0,0.0,0.0,0.0,0.0,-0.76923,0.20395,0.0,0.0,-0.61538,-0.475,0.61111,0.08489,0.60976,0.96974,0.26079,0.0,0.0,-0.20272,0.40743,0.0,0.0,-0.38196,0.38519,0.40743,1.2009,0.0,0.34472,0.39499,0.0,-0.41762,0.18843,-0.22629,0.40743,0.96923,-0.17787,-0.38356,-0.63121,1.02857,-1.62416,0.0,0.0,0.0,-0.86667,0.52287,0.0,0.0,1.27039,0
DBAASP2976,0.0,0.04274,0.0,0.0,-0.08222,0.0,0.0,-0.07692,0.65779,0.0,0.0,0.11189,-0.05,-0.5,0.6211,1.60976,0.01906,-0.15981,0.0,0.83333,-0.23866,0.0,0.0,0.0,0.65232,-0.12037,0.0,-0.13821,0.0,0.18211,-0.05064,0.0,-0.4472,-0.42975,0.12571,0.0,0.72378,-0.32279,1.36644,0.72574,0.42857,-0.01897,0.0,0.0,0.5,-0.07222,0.0,0.0,3.16667,0.09885,0
DBAASP2842,0.63,-0.17949,0.0,0.0,-0.49333,0.0,0.0,-0.30769,0.35059,0.0,0.0,-0.61538,-0.025,1.16667,0.64471,-0.39024,-0.02673,-0.02515,0.0,0.0,-0.4054,0.40743,0.0,0.0,-0.95734,-0.04815,0.40743,0.5477,0.0,-0.38699,-0.96501,0.0,0.0693,0.29752,4.52571,0.40743,-0.5035,1.77866,-0.38356,-1.0282,-1.37143,-0.44688,0.0,0.0,0.0,0.0,0.52287,0.0,0.0,0.25891,0
DBAASP2818,0.63,-0.17949,0.0,0.0,-0.49333,0.0,0.0,-0.30769,0.33419,1.64286,0.0,0.2735,-0.05,0.05556,0.1367,-0.39024,-0.75105,0.00993,0.0,0.0,-0.48543,0.40743,0.0,0.0,-0.39373,-0.04815,0.40743,-0.46733,0.0,-0.38699,-1.04582,0.0,1.68955,0.29752,4.52571,0.40743,-0.5035,-0.17787,1.94977,-0.7828,-0.17143,1.19606,0.0,0.0,0.0,-0.43333,0.52287,0.0,0.0,-0.23484,0
DBAASP1911,0.98,-0.51282,0.0,0.0,-0.49333,0.0,0.0,-0.19231,-0.32475,0.0,0.0,0.52747,-0.7,1.64286,-0.09752,-0.39024,-1.66454,0.79409,0.0,0.0,1.66957,0.86328,0.0,0.0,-0.59896,-0.48148,0.86328,0.41497,0.0,-0.38699,-0.1287,0.0,-3.189,-0.79339,-0.09429,0.86328,-0.5035,0.083,-0.38356,1.39995,0.42857,-1.82753,0.0,0.0,0.0,0.10833,1.10787,0.0,0.0,-0.44263,0
DBAASP4404,0.63,-0.17949,0.0,0.0,-0.49333,0.0,0.0,-0.34615,-0.04837,0.0,0.0,0.71795,-0.2,0.61111,0.05724,0.60976,-0.25176,0.34683,0.0,1.0,-0.18318,0.40743,0.0,0.0,0.32687,-0.48148,0.40743,0.1927,0.0,0.27967,-0.98175,0.0,-0.36645,-0.6843,-0.22629,0.40743,-0.5035,-0.17787,1.94977,0.31317,1.02857,-0.21703,0.0,0.0,1.0,0.86667,0.52287,0.0,0.0,-0.23887,0
DBAASP4304,1.38,-0.51282,0.0,0.0,-0.49333,0.0,0.0,0.34615,-0.10781,1.91667,0.0,0.88462,-0.35,0.75,-0.0964,-0.39024,-0.10585,0.2784,0.0,0.0,2.56052,0.62821,0.0,0.0,-0.47859,-0.48148,0.62821,-1.77576,0.0,-0.38699,-0.18055,0.0,0.02746,-0.79339,-0.16762,0.62821,-0.5035,-0.06917,-0.38356,1.26147,0.09524,0.47586,0.0,0.0,0.0,0.28889,0.8062,0.0,0.0,-1.63582,0
DBAASP784,0.78,-0.51282,0.0,0.0,-0.49333,0.0,0.0,-0.61538,-0.75856,0.0,0.0,0.88462,-0.475,0.75,-0.72935,0.94309,-0.91255,-0.21423,0.0,0.0,-0.20974,0.62821,0.0,0.0,1.53485,-0.48148,0.62821,-0.9767,0.0,-0.38699,-0.92963,0.0,-0.57895,-0.79339,2.76571,0.62821,-0.5035,-0.83004,-0.38356,0.27836,0.09524,-0.36494,0.0,0.0,0.0,-0.19259,0.8062,0.0,0.0,-0.9869,0
DBAASP4515,-0.42,0.59829,0.0,0.0,0.05481,0.0,0.0,-1.23077,-0.29687,0.0,0.0,-0.61538,-1.25,-0.5,-1.22002,-0.39024,0.63341,-0.06828,0.0,1.11111,-0.25204,0.62821,0.0,1.96762,-0.7048,0.48148,0.62821,0.26363,1000799917193444.0,0.76911,1.11888,0.0,0.14735,0.29752,0.41905,0.62821,0.76923,-0.83004,-0.38356,-0.63752,-1.2381,0.68686,0.0,0.0,0.5,0.28889,0.8062,0.0,0.0,0.41437,0
