,GTPC_uncharger.postivecharger.alphaticr,CKSAAP_GP.gap2,GTPC_alphaticr.postivecharger.alphaticr,CKSAAGP_postivecharger.postivecharger.gap1,CKSAAP_PK.gap3,DDE_PG,DDE_TW,CKSAAP_TK.gap1,DDE_MQ,DDE_RA,CTriad_g1.g2.g3,ABHPRK__33,DDE_RP,NMBroto_CHAM810101.lag2,CTDT_hydrophobicity_PRAM900101.Tr1331,MSW__6,CTDD_hydrophobicity_CASG920101.2.residue50,Z3__17,Calculate_charge,DDE_RQ,DPC_GF,Kytedoolittle,Z3__16,PAAC_Xc1.W,CKSAAP_DP.gap1,NMBroto_CHAM820102.lag1,ABHPRK__55,CTDD_hydrophobicity_FASG890101.2.residue100,Z3__24,APAAC_Pc1.P,CTDD_hydrophobicity_PONP930101.2.residue75,Z5__19,MSW__1,CKSAAGP_uncharger.postivecharger.gap2,DDE_NT,CTriad_g4.g5.g1,ABHPRK__75,PAAC_Xc2.lambda1,APAAC_Pc1.G,CTDC_normwaalsvolume.G3,Z3__11,Ez__22,CTDD_hydrophobicity_PRAM900101.1.residue100,CTDD_hydrophobicity_ARGP820101.1.residue50,Z3__30,Ez__6,CTDD_charge.2.residue50,QSO3_SC_P,Aliphatic_Index,CTDT_charge.Tr1221,y
random_peptide_1,0.0,0.0,0.0,0.0,0.0,0.49895,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.52431,-0.57145,1.89781,0.3332,0.58036,0.39962,-0.53447,0.47619,0.0,2.05034,0.09844,0.81031,0.0,-0.01195,0.0,0.10744,0.15433,0.0,-0.97222,0.17956,0.68546,0.0,0.47619,0.0,0.0,-0.00848,0.0,-0.4898,0.78594,0.52685,-0.40714,-0.40665,-0.52112,-0.31459,-0.25974,0.0,0.40842,-0.58333,0
random_peptide_2,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,2.50863,-0.94891,0.29131,-0.51705,0.33248,-0.0005,0.86501,0.0,0.23495,-0.75104,0.0,0.0,1.26024,0.0,0.37605,-0.50642,1.95559,-0.58333,0.00171,-0.738,0.0,0.86501,0.0,0.0,-1.36344,0.0,-1.28571,-0.68044,-1.6993,-0.15,1.48232,0.14352,0.63974,-0.54545,2.82312,-0.55207,-0.58333,0
random_peptide_3,0.0,0.0,0.0,0.08333,0.0,-0.54884,-0.52381,0.0,-0.52381,41.78472,0.0,0.08333,-0.57673,0.01495,-0.51095,0.03235,0.15828,-0.18828,-0.99937,-0.52381,0.0,-0.52415,-0.62467,0.0,0.0,-0.11555,0.0,-0.56407,0.56681,0.85622,0.55556,-0.05332,-1.30262,0.0,-0.52381,0.0,0.0,-0.0826,0.0,-0.4898,-0.4759,-0.50969,0.45,-0.1443,0.62509,1.07631,-0.97403,0.68696,-0.63611,-0.04487,0
random_peptide_4,0.0,0.0,0.0,0.0,0.0,-0.14708,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15455,0.16526,0.18978,0.92054,0.50362,-1.38244,-0.0015,-0.14037,0.0,0.56957,0.26951,0.80746,0.0,-1.86386,0.0,0.03419,-0.15274,0.0,0.26515,0.79259,1.6983,0.0,-0.14037,0.0,0.0,0.48361,0.0,1.24675,0.02354,0.51109,-0.09545,-0.12045,0.09121,-1.40157,0.0,0.0,-0.62847,-0.58333,0
random_peptide_5,0.0,0.0,0.0,0.0,0.0,0.69239,0.66081,0.0,0.66081,0.75293,1.0,0.0,0.72757,-1.00071,-0.94891,-1.50714,-0.12311,2.17371,-0.0005,0.66081,0.0,0.86583,-0.09304,0.0,0.0,0.25642,0.0,-0.56407,0.68001,0.0,-0.64815,-0.17983,1.53388,0.0,0.66081,0.0,0.0,-1.29111,0.0,-1.28571,0.61327,0.00298,-2.55,0.38042,-0.0442,-1.42399,0.45455,0.0,1.24085,-0.58333,0
random_peptide_6,0.0,0.0,0.0,0.0,0.0,-0.14708,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15455,0.50797,0.75912,-1.66081,1.84659,1.03312,-0.99987,-0.14037,0.0,-0.10459,-0.38621,0.0,0.0,0.31315,0.0,-0.64954,0.7636,0.0,0.97222,-0.93278,0.93079,0.0,-0.14037,0.0,0.0,-0.22479,0.0,-1.28571,0.63289,1.12431,-0.36818,-0.45436,-0.01684,-0.49333,-0.90909,0.0,0.71621,-0.58333,0
random_peptide_7,0.0,0.0,0.0,0.0,0.0,-0.14708,-0.14037,0.0,-0.14037,-0.15994,1.0,0.0,-0.15455,0.60964,-0.37956,-0.54665,-0.30217,0.29138,-0.10209,-0.14037,0.0,-0.68938,-0.66078,0.0,0.0,1.96109,0.0,0.20512,-0.88287,1.91642,-0.44192,-0.03336,0.10706,0.0,-0.14037,0.0,0.0,-1.51035,0.0,-1.28571,0.16857,-0.22022,-0.09545,0.54737,1.07601,0.6773,0.0,2.6497,-1.07161,-0.58333,0
random_peptide_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29011,-0.94891,-0.68501,-0.22159,2.43743,-0.0005,0.0,0.0,-0.96302,1.38808,0.0,0.0,1.41001,0.0,0.37605,-0.61451,0.9565,0.19444,-0.33506,-0.25384,0.0,0.0,0.0,0.0,-1.04561,1.92238,-0.72857,0.24841,0.36557,0.45,0.38042,-0.23731,-0.33497,0.45455,1.26725,-1.05633,-0.58333,0
random_peptide_9,0.0,0.0,0.18182,0.0,0.0,-0.42064,-0.40145,0.0,-0.40145,87.76681,0.0,0.0,-0.44201,1.92599,-0.94891,-0.08248,0.48295,-0.90961,0.50044,-0.40145,0.0,-0.35396,1.14089,0.0,0.0,1.23419,0.0,-0.34712,0.09063,0.97355,0.37393,-0.27033,-0.42557,1.49767,-0.40145,0.0,0.0,1.29489,1.95665,-0.42857,-0.48526,-0.41377,-0.47308,-0.60847,-0.33125,-0.13761,0.83916,0.66593,-0.20297,0.58333,0
random_peptide_10,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,-0.07545,0.47445,-1.80502,1.25568,0.21896,-0.50094,0.86501,0.0,1.36287,-0.06354,0.0,0.0,-0.50446,0.0,-0.7521,1.61406,0.0,-0.97222,-0.23281,0.35756,0.0,0.86501,0.0,0.0,-0.46271,0.0,-1.28571,1.29327,0.90818,-0.75,-0.72148,1.14683,-0.73132,-0.54545,0.0,1.06156,-0.58333,0
