,ABHPRK__38,CTDC_hydrophobicity_ARGP820101.G1,GTPC_uncharger.uncharger.postivecharger,CKSAAGP_negativecharger.uncharger.gap4,CTDC_solventaccess.G3,CKSAAP_TK.gap1,CKSAAGP_negativecharger.uncharger.gap1,formula_C,Cougar__27,CKSAAGP_aromatic.postivecharger.gap2,ABHPRK__18,ABHPRK__57,formula_H,ABHPRK__37,Cougar__28,CKSAAGP_alphaticr.alphaticr.gap5,Cougar__5,NMBroto_CIDH920105.lag2,CKSAAP_SR.gap3,AAC_G,MSW__7,DDE_AP,GTPC_uncharger.postivecharger.alphaticr,QSO3_SC_P,Ez__24,GAAC_uncharge,DDE_WT,APAAC_Pc2.Hydrophilicity.2,CTDC_charge.G3,DDR_I,Z5__56,ABHPRK__20,APAAC_Pc2.Hydrophilicity.1,CTDD_hydrophobicity_ARGP820101.1.residue100,CTDD_hydrophobicity_ZIMJ680101.1.residue0,DDE_PP,CTDD_solventaccess.3.residue75,ABHPRK__79,CKSAAGP_alphaticr.postivecharger.gap3,MSW__1,CTDD_hydrophobicity_FASG890101.3.residue50,APAAC_Pc2.Hydrophobicity.1,CKSAAGP_negativecharger.alphaticr.gap2,PAAC_Xc1.Y,CTriad_g1.g2.g2,CTDD_hydrophobicity_ARGP820101.3.residue75,DDE_WC,CKSAAP_QK.gap3,ABHPRK__81,Cougar__3,y
DBAASP1777,-0.4,-0.18863,0.0,0.0,0.80606,0.0,0.0,-0.2963,-1.37993,0.0,0.0,-0.32593,-0.40541,-0.5,-1.329,1.0,0.01072,-0.59656,0.0,0.0,-0.24999,115.93523,0.0,1.31923,0.48983,0.36818,0.19861,-0.02749,-1.0,0.32358,0.90689,0.0,-0.5312,0.06734,0.17824,0.24281,0.32141,0.84264,0.47151,0.31177,0.15584,-1.02032,0.0,0.71684,0.0,-0.24037,0.19861,0.0,2.18182,0.2661,0
DBAASP2619,-0.03636,0.31922,0.0,0.0,0.25128,0.0,0.0,0.0,-0.49575,0.0,0.0,0.81481,0.16216,-0.08333,-0.47994,2.14286,0.43199,-1.08074,0.0,1.69231,-0.62137,-0.232,0.0,1.35401,2.54042,0.24231,-0.18977,-0.16568,0.0,0.02764,-0.04834,0.0,0.28012,0.19943,1.4579,-0.232,-0.0509,-0.79307,-0.52849,0.1962,-0.26374,0.54754,0.0,0.0,0.0,0.0678,-0.18977,0.0,0.0,0.55843,0
DBAASP2489,-0.03636,0.31922,0.0,0.0,0.25128,0.0,0.0,-0.07407,-0.39227,0.0,0.0,0.81481,0.05405,-0.08333,-0.40716,2.14286,0.38529,-1.0785,0.0,1.69231,-0.53799,-0.232,0.0,1.36361,1.80331,0.24231,-0.18977,-0.21171,0.0,0.46504,0.05442,0.0,0.21592,0.19943,1.4579,-0.232,-0.0509,-0.35688,-0.52849,0.48461,-0.26374,0.4588,0.0,0.0,0.5,0.40678,-0.18977,0.0,0.0,0.36248,0
DBAASP4779,0.6,0.20749,0.0,0.0,0.46667,0.0,0.0,-0.62963,0.28663,0.0,0.0,0.2716,-0.35135,0.05556,0.23582,1.25,0.29862,-0.94459,0.0,1.1,-0.88367,0.49809,0.0,0.0,0.53516,0.0,0.40743,-0.26535,0.0,0.25041,-0.4311,0.0,-0.07723,0.14815,-0.19606,0.49809,-0.1021,0.45319,1.80484,-0.456,-0.77143,-0.30622,0.0,0.0,0.0,1.32203,0.40743,0.0,0.0,0.21293,0
DBAASP5025,0.26667,0.38905,0.0,0.0,0.7,0.0,0.0,-0.7037,-0.83055,2.0,0.0,0.58201,-1.10811,0.21429,-0.8708,0.0,-0.40184,-0.92002,0.25,0.0,-0.28304,1.05537,0.16667,0.0,2.68802,0.675,0.86328,-0.5885,0.0,0.33496,0.13527,0.0,0.06839,-0.0463,0.49016,1.05537,-0.01891,0.07931,-0.52849,0.79306,-0.32143,-0.26662,0.0,0.0,0.0,-0.44068,0.86328,0.0,0.0,-0.49628,0
DBAASP1735,-0.03636,-0.51873,0.0,0.0,0.96923,0.0,0.0,0.81481,-1.82624,1.0,0.0,-0.40741,0.43243,-0.08333,-1.93101,0.0,0.31306,0.3812,0.0,0.0,1.43279,-0.232,0.0,2.21334,0.45548,0.24231,-0.18977,-0.05558,0.0,-0.41626,1.10011,0.0,0.8692,-0.74074,0.05027,-0.232,0.58901,-0.79307,-0.52849,0.14895,0.1978,0.92633,0.0,1.33321,0.0,0.40678,-0.18977,0.0,3.69231,-0.18588,0
DBAASP4481,-0.4,-0.21614,0.0,0.0,-0.46667,0.0,0.0,-0.07407,0.34217,1.11111,0.0,-0.37037,0.08108,0.40909,0.13541,0.83333,0.39994,1.53483,0.0,0.0,-0.7276,0.0,0.0,0.0,0.05615,-0.075,0.0,1.17478,0.0,-0.00976,0.48156,0.0,-1.90309,-0.55556,0.10892,0.0,-0.43485,-0.79307,0.34651,0.87845,0.92857,-3.0822,0.0,0.0,0.0,-0.07345,0.0,0.0,0.0,0.36409,0
DBAASP1039,-0.4,0.69164,0.0,0.0,2.64444,0.0,0.0,-1.2963,-1.37559,0.0,0.0,0.16296,-1.64865,-0.5,-1.54275,0.0,-1.21542,0.12464,0.0,0.0,-2.13801,1.69986,0.0,2.31923,1.28495,1.8,1.39046,0.28646,0.0,-0.41626,0.99319,0.0,0.54415,-0.37037,0.10892,1.69986,0.39704,-0.79307,-0.52849,0.22486,0.42857,0.29607,0.0,0.0,0.0,1.02825,1.39046,0.0,0.0,-0.89659,0
DBAASP1363,0.32727,0.0399,0.0,0.0,0.25128,0.0,0.0,0.22222,-0.79345,0.0,0.0,0.81481,0.2973,-0.08333,-0.77598,0.71429,0.21442,-0.90008,0.0,0.84615,-0.36548,-0.232,0.0,1.18946,2.08498,0.24231,-0.18977,-0.69201,0.0,0.38374,-0.11598,0.0,0.13483,0.11396,1.8098,-0.232,-0.0509,-0.79307,0.24929,0.32788,-0.26374,0.23432,0.0,0.0,0.0,0.0678,-0.18977,0.0,0.0,0.00683,0
DBAASP3680,-0.4,-0.51873,0.0,0.0,0.61026,0.0,0.0,0.18519,-2.21627,0.0,0.0,0.0,0.59459,-0.08333,-2.32311,0.71429,1.47929,1.35105,0.0,0.0,-1.62109,-0.232,0.0,3.96029,1.71476,0.58846,-0.18977,0.39274,-1.0,-0.19187,1.42676,0.0,-0.08889,-0.74074,3.56933,-0.232,0.46103,-0.79307,1.80484,0.31866,-0.72527,0.40273,0.0,0.0,0.0,0.0678,-0.18977,0.0,0.0,1.70341,0
